observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments,taxon.taxonID,taxon.taxonRank,taxon.order,taxon.family,taxon.vernacularNames.eng,taxon.vernacularNames.nld
4cb867af-0d7d-4c08-ae07-f352ee076f6f,002ee403-d2e7-447d-a2d2-b869a5b67835,NA,31d5a03c-5bdc-4f75-ba39-2ecaebfb87ae,2025-09-15T23:07:01Z,2025-09-15T23:07:45Z,event,animal,NA,Sus scrofa,4,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Jim Casaer,2026-08-04T14:36:31Z,0.5,NA,Biggen: 2,https://www.checklistbank.org/dataset/COL2023/taxon/53HGR,species,Artiodactyla,Suidae,Wild boar,Everzwijn
14429a7a-5d6f-4f1f-b94e-4c709c1e7898,4837397e-23d5-4e9d-830e-65a328620a49,NA,14baa997-6d7b-4a5d-9aa0-577fbca4fadd,2025-10-25T03:00:21Z,2025-10-25T03:00:26Z,event,animal,NA,Vulpes vulpes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Niko Boone,2025-11-12T13:35:52Z,0.5,NA,met prooi,https://www.checklistbank.org/dataset/COL2023/taxon/5BSG3,species,Carnivora,Canidae,Red fox,Vos
c706213d-313d-4ef6-ad37-3ce1da3f23da,5081024d-c378-4302-8fe5-78882645326b,NA,6097ee75-8a99-4e2d-b044-ef227fbabac7,2025-10-29T18:12:23Z,2025-10-29T18:15:32Z,event,animal,NA,Sus scrofa,6,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Niko Boone,2025-12-01T14:50:30Z,0.5,NA,biggen: 3,https://www.checklistbank.org/dataset/COL2023/taxon/53HGR,species,Artiodactyla,Suidae,Wild boar,Everzwijn
d063ba08-5eae-42a9-99fe-0227d79451db,526406e2-0405-493a-b9b4-32629134428d,NA,db010285-18eb-4280-a2bb-08de3a10683b,2025-10-06T19:51:16Z,2025-10-06T19:53:46Z,event,animal,NA,Sus scrofa,5,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Robbe Kerremans,2025-11-13T08:13:04Z,0.5,NA,biggen: 3,https://www.checklistbank.org/dataset/COL2023/taxon/53HGR,species,Artiodactyla,Suidae,Wild boar,Everzwijn
ca71bc9b-f081-4eda-a8c4-7c58522f802d,526406e2-0405-493a-b9b4-32629134428d,NA,847306ad-4d18-4afb-80ca-e9affeb9efe0,2025-10-17T19:11:00Z,2025-10-17T19:12:06Z,event,animal,NA,Sus scrofa,12,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Niko Boone,2025-11-13T08:17:45Z,0.5,NA,biggen: 6,https://www.checklistbank.org/dataset/COL2023/taxon/53HGR,species,Artiodactyla,Suidae,Wild boar,Everzwijn
5be5e96d-330f-4794-b5ff-1369e7813651,6075a973-dd6b-4652-b216-48015058c9ba,NA,19e9807a-4119-4098-992e-51754cf18ef9,2025-11-10T05:11:58Z,2025-11-10T05:12:04Z,event,animal,NA,Vulpes vulpes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Niko Boone,2025-12-01T10:43:47Z,0.5,NA,met prooi,https://www.checklistbank.org/dataset/COL2023/taxon/5BSG3,species,Carnivora,Canidae,Red fox,Vos
63e44ba8-0519-4b67-b2b6-677aaea77d71,9a4fa029-1542-4361-b717-8fe231ea2ef9,NA,4ab7adda-682e-47fa-94f9-df5b75b6a58d,2025-10-02T03:35:55Z,2025-10-02T03:36:33Z,event,animal,NA,Sus scrofa,6,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Niko Boone,2025-11-12T12:33:41Z,0.5,NA,biggen: 6,https://www.checklistbank.org/dataset/COL2023/taxon/53HGR,species,Artiodactyla,Suidae,Wild boar,Everzwijn
664ebf18-9765-4714-bf40-077172900221,a2c977e8-aca9-4041-b027-d3600db9e6a6,NA,a0e899ee-6402-4ed1-8921-6c21d7027602,2025-09-23T02:34:44Z,2025-09-23T02:34:50Z,event,animal,NA,Sus scrofa,1,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Niko Boone,2025-10-06T10:37:06Z,0.5,NA,biggen: 1,https://www.checklistbank.org/dataset/COL2023/taxon/53HGR,species,Artiodactyla,Suidae,Wild boar,Everzwijn
