observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments,taxon.taxonID,taxon.taxonRank,taxon.order,taxon.family,taxon.vernacularNames.eng,taxon.vernacularNames.nld
d3df6e7d-b6b7-4b8b-b687-b9c905541cbd,14509f43-ff06-4532-9aa9-148177691010,NA,2f483c03-620c-41f3-b797-23571a5a636d,2025-11-28T05:32:37Z,2025-11-28T05:36:40Z,event,animal,NA,Dama dama,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Emilie Gelaude,2026-08-10T11:42:10Z,1,NA,Error parsing all data,https://www.checklistbank.org/dataset/COL2023/taxon/342N9,species,Artiodactyla,Cervidae,Fallow deer,Damhert
8707cf84-42d1-4287-839f-0af7eb2f4593,14509f43-ff06-4532-9aa9-148177691010,NA,eee4b153-8a42-4a00-8c17-2f00d26d5aa2,2025-11-28T05:39:48Z,2025-11-28T05:40:00Z,event,animal,NA,Dama dama,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Emilie Gelaude,2026-08-10T11:43:32Z,1,NA,Error parsing all data,https://www.checklistbank.org/dataset/COL2023/taxon/342N9,species,Artiodactyla,Cervidae,Fallow deer,Damhert
991247df-4bf3-4799-ad98-fe23aa5e99b7,1dc2c0c0-0d1c-458c-ac00-ab7178988d41,NA,2ccd904a-d414-43ee-b755-f88d7c08e72e,2025-10-28T07:09:44Z,2025-10-28T07:10:49Z,event,animal,NA,Dama dama,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Ciara Dewandeleer,2026-07-02T12:00:43Z,1,NA,Error parsing all data,https://www.checklistbank.org/dataset/COL2023/taxon/342N9,species,Artiodactyla,Cervidae,Fallow deer,Damhert
b321696f-f91b-412b-95ae-ab7626afc62e,1dc2c0c0-0d1c-458c-ac00-ab7178988d41,NA,6eea6b0a-465d-482e-a8fd-971cd4660a26,2025-10-28T17:39:51Z,2025-10-28T17:39:57Z,event,animal,NA,Dama dama,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Ciara Dewandeleer,2026-07-02T14:44:40Z,1,NA,Error parsing all data,https://www.checklistbank.org/dataset/COL2023/taxon/342N9,species,Artiodactyla,Cervidae,Fallow deer,Damhert
