observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments,taxon.taxonID,taxon.taxonRank,taxon.order,taxon.family,taxon.vernacularNames.eng,taxon.vernacularNames.nld
f4b7f983-bd18-4716-8160-1a772aecb22d,3b888226-37f5-440e-a32e-2d84dad63dd7,NA,d1bde1ad-0d71-47bc-b682-539f7e847d5f,2025-11-19T16:22:55Z,2025-11-19T16:24:11Z,event,animal,NA,Dama dama,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Karis De Baets,2026-05-06T09:43:38Z,0.5,NA,2 Capreolus capreolus,https://www.checklistbank.org/dataset/COL2023/taxon/342N9,species,Artiodactyla,Cervidae,Fallow deer,Damhert
a51a4361-10d6-48e6-91ee-cc47c19fc999,3f249044-e05d-4731-b80a-3e83b8536a05,NA,6362ea61-a6d8-44da-8fdb-34d01f5594e5,2025-12-05T06:39:53Z,2025-12-05T06:46:40Z,event,animal,NA,Capreolus capreolus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Karis De Baets,2026-05-06T09:55:26Z,0.5,NA,zelfde dier als in reeks 86,https://www.checklistbank.org/dataset/COL2023/taxon/QSF3,species,Artiodactyla,Cervidae,Roe deer,Ree
d428f33b-d5eb-4454-a5ea-573053f7835a,51532f69-ae82-4357-8167-85727b6ff3d4,NA,45ca8780-3fae-42e5-b9c4-758dba04c044,2025-12-15T22:06:34Z,2025-12-15T22:07:56Z,event,animal,NA,Capreolus capreolus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Annick Vercaemer,2025-12-20T15:00:27Z,0.5,NA,gebroken achterpoot?,https://www.checklistbank.org/dataset/COL2023/taxon/QSF3,species,Artiodactyla,Cervidae,Roe deer,Ree
c27c0712-6698-4c80-a25b-740bce6bcaaa,51532f69-ae82-4357-8167-85727b6ff3d4,NA,cf8093b3-ca9e-42bf-8747-9cad595e5d1e,2025-12-17T18:43:47Z,2025-12-17T18:44:22Z,event,animal,NA,Capreolus capreolus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Karis De Baets,2026-05-06T12:43:23Z,0.5,NA,zelfde dieren als in reeks 40,https://www.checklistbank.org/dataset/COL2023/taxon/QSF3,species,Artiodactyla,Cervidae,Roe deer,Ree
595b1882-df50-4385-a343-377b600f9e1d,5aa5286b-86b2-49d9-9f73-c3580b807eb3,NA,d2f37965-1a23-4398-8616-c28b3f3218d7,2025-10-20T18:46:49Z,2025-10-20T18:47:55Z,event,animal,NA,Capreolus capreolus,1,NA,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Annick Vercaemer,2025-11-23T15:20:22Z,0,NA,haas op achtergrond?,https://www.checklistbank.org/dataset/COL2023/taxon/QSF3,species,Artiodactyla,Cervidae,Roe deer,Ree
4cfa704f-0e45-48b5-862a-6d4cef064412,5aa5286b-86b2-49d9-9f73-c3580b807eb3,NA,c73a9027-5a69-4504-a895-fa323a6b0d3f,2025-11-18T10:32:01Z,2025-11-18T10:33:37Z,event,animal,NA,Capreolus capreolus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Annick Vercaemer,2025-11-23T20:27:04Z,0.5,NA,zelfde dier als in reeks 74,https://www.checklistbank.org/dataset/COL2023/taxon/QSF3,species,Artiodactyla,Cervidae,Roe deer,Ree
ac402147-f4a2-4b75-96e3-0c5bc7cfbdf3,678c551d-2726-4b85-b7b4-7f3338224fbb,NA,c8e2ddeb-571b-45fe-ba4c-147602a146f1,2025-10-25T13:54:23Z,2025-10-25T13:55:17Z,event,animal,NA,Dama dama,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Ciara Dewandeleer,2026-07-07T08:02:31Z,1,NA,mengeling van leeftijden,https://www.checklistbank.org/dataset/COL2023/taxon/342N9,species,Artiodactyla,Cervidae,Fallow deer,Damhert
2680b42f-d7b7-4cbf-b4a5-0303a4f62c58,836a1b2e-dedb-45c7-a22c-a84645dc2224,NA,08762da2-e246-42f3-8f48-03dfdd24b23b,2025-12-04T23:14:32Z,2025-12-04T23:14:55Z,event,animal,NA,Capreolus capreolus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Annick Vercaemer,2026-04-01T18:58:22Z,0.5,NA,zelfde dier als in reeks 43,https://www.checklistbank.org/dataset/COL2023/taxon/QSF3,species,Artiodactyla,Cervidae,Roe deer,Ree
a185f4f0-e99d-4d5b-8af9-33da7e5e34c9,977f5247-c087-4dc3-affc-6c06daf038df,NA,93ec9171-f46a-4165-bc94-f7d7edf88d20,2025-12-19T08:09:17Z,2025-12-19T08:09:32Z,event,animal,NA,Capreolus capreolus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Annick Vercaemer,2025-12-20T13:55:35Z,0.5,NA,1 dier uit reeks 52,https://www.checklistbank.org/dataset/COL2023/taxon/QSF3,species,Artiodactyla,Cervidae,Roe deer,Ree
e3bb28c3-0693-4d0f-847e-916f3dfdb0d9,99865873-b698-4a9a-9a11-082f5fc74ea1,NA,9eb0bc3e-8ea4-4044-943c-d85a19d11ad9,2025-11-25T19:45:53Z,2025-11-25T19:46:36Z,event,animal,NA,Vulpes vulpes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,human,Annick Vercaemer,2025-12-20T16:29:49Z,0.5,NA,1 dier zelfde als in reeks 11,https://www.checklistbank.org/dataset/COL2023/taxon/5BSG3,species,Carnivora,Canidae,Red fox,Vos
